               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12677,            0.033903,            0.040088,          0.00010243,           0.0026455,          4.5259e-05,          6.7842e-06,             0.11574,            0.029876,            0.035215,             0.00024,             0.00024,             0.09784
                   1,             0.11617,            0.032283,            0.033175,          0.00028467,            0.011905,          0.00014596,          3.2161e-05,               0.107,            0.030379,            0.030409,          0.00048999,          0.00048999,             0.09559
                   2,             0.10312,            0.032725,            0.028047,            0.029068,             0.05856,             0.01291,            0.002368,             0.09275,            0.031257,             0.02582,          0.00073993,          0.00073993,             0.09334
                   3,            0.088474,            0.032675,            0.024992,             0.10046,             0.15733,             0.07858,            0.015465,            0.079539,            0.028525,            0.023062,          0.00098978,          0.00098978,             0.09109
                   4,            0.079468,            0.028583,            0.023661,             0.16858,             0.36147,             0.14616,            0.032687,            0.067518,            0.023959,            0.021006,           0.0012395,           0.0012395,             0.08884
                   5,            0.074578,            0.025699,            0.020599,             0.64089,             0.20723,             0.14994,            0.032344,            0.069915,            0.020827,            0.018099,           0.0014891,           0.0014891,            0.086589
                   6,            0.075753,            0.023392,            0.018825,             0.22927,             0.55176,             0.25025,            0.054439,            0.076598,            0.020171,            0.015337,           0.0017385,           0.0017385,            0.084338
                   7,            0.078895,            0.022611,            0.015992,             0.33389,             0.48298,             0.29781,            0.057982,            0.068179,             0.01983,            0.011515,           0.0019876,           0.0019876,            0.082088
                   8,            0.077514,            0.022221,             0.01347,             0.48273,             0.48678,             0.44495,            0.099205,            0.065837,            0.019504,           0.0094489,           0.0022365,           0.0022365,            0.079836
                   9,            0.075903,            0.021612,             0.01036,             0.26216,             0.51404,             0.28269,            0.072253,            0.071509,            0.017855,            0.006106,            0.002485,            0.002485,            0.077585
                  10,            0.076029,             0.02101,           0.0083409,             0.34653,              0.6061,             0.40106,             0.09408,            0.068711,            0.018004,           0.0044701,           0.0027332,           0.0027332,            0.075333
                  11,            0.073591,            0.020115,           0.0071141,             0.36436,             0.51282,             0.39733,              0.1164,            0.075401,              0.0162,            0.003693,           0.0029811,           0.0029811,            0.073081
                  12,             0.07017,             0.02009,            0.005691,             0.50482,             0.64916,             0.52162,             0.13367,            0.070925,            0.016624,           0.0033761,           0.0032285,           0.0032285,            0.070829
                  13,            0.070837,            0.019956,            0.005372,             0.39376,             0.60502,             0.46438,             0.13736,            0.067059,            0.015885,           0.0031481,           0.0034755,           0.0034755,            0.068575
